,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
62,São Filipe,55,CV,1619289852,74,14.8961,-24.4956,72.23,13.67
63,Santa Isabel Rio Negro,88,BR,1619289854,48,-0.4139,-65.0192,91.89,4.59
64,Carnarvon,0,AU,1619289855,94,-24.8667,113.6333,62.6,6.91
65,Cape Town,0,ZA,1619289806,82,-33.9258,18.4232,63.0,11.5
66,Port Hedland,0,AU,1619289857,64,-20.3167,118.5667,68.0,9.22
67,Manggar,19,ID,1619289859,75,-2.8833,108.2667,80.67,5.99
68,Tiksi,100,RU,1619289674,93,71.6872,128.8694,30.45,11.12
69,Labuhan,7,ID,1619289861,83,-6.8844,112.2051,77.34,5.55
70,Port Alfred,53,ZA,1619289862,85,-33.5906,26.891,67.14,8.88
71,Zhigansk,100,RU,1619289864,98,66.7697,123.3711,33.03,9.71
72,Clyde River,75,CA,1619289705,93,70.4692,-68.5914,17.6,9.22
73,Bredasdorp,96,ZA,1619289866,87,-34.5322,20.0403,53.6,5.75
74,Mayumba,100,GA,1619289867,85,-3.432,10.6554,79.5,5.03
75,Mar del Plata,40,AR,1619289868,59,-38.0023,-57.5575,66.2,14.97
76,New Norfolk,100,AU,1619289870,85,-42.7826,147.0587,48.99,2.48
77,Pānsemāl,97,IN,1619289871,20,21.65,74.7,90.03,7.23
78,Keti Bandar,0,PK,1619289872,71,24.1447,67.4497,82.33,12.21
79,Arman',100,RU,1619289874,73,59.7,150.1667,14.07,12.59
80,Ossora,100,RU,1619289875,98,59.2353,163.0719,30.42,3.2
81,Vaini,20,TO,1619289876,100,-21.2,-175.2,69.8,6.44
82,Varberg,7,SE,1619289877,62,57.1056,12.2508,41.0,10.0
83,Bengkulu,100,ID,1619289879,89,-3.8004,102.2655,75.4,4.03
84,San Jose,75,US,1619289637,55,37.3394,-121.895,64.99,3.4
85,Celestún,76,MX,1619289881,55,20.8667,-90.4,89.74,8.61
86,Chui,100,UY,1619289882,72,-33.6971,-53.4616,71.38,6.38
87,Lamar,90,US,1619289884,72,33.6668,-95.5836,66.2,17.27
88,Nishihara,20,JP,1619289885,83,26.1842,127.7558,68.0,8.05
89,Arraial do Cabo,20,BR,1619289616,73,-22.9661,-42.0278,78.8,12.66
90,Barrow,1,US,1619289887,80,71.2906,-156.7887,24.8,4.32
91,Saint-Philippe,75,RE,1619289889,88,-21.3585,55.7679,77.0,27.63
92,Mabaruma,98,GY,1619289890,77,8.2,-59.7833,81.32,7.81
93,Marsabit,100,KE,1619289891,71,2.3284,37.9899,69.13,10.96
94,Del Rio,1,US,1619289892,19,29.3627,-100.8968,87.8,9.22
95,Palmer,75,US,1619289894,18,42.1584,-72.3287,71.01,10.36
96,Pisco,0,PE,1619289895,78,-13.7,-76.2167,71.01,10.36
97,Ponta do Sol,20,PT,1619289896,59,32.6667,-17.1,66.2,4.61
98,Saskylakh,96,RU,1619289897,92,71.9167,114.0833,31.57,12.03
99,Bluff,100,NZ,1619289899,83,-46.6,168.3333,48.0,5.01
100,Provideniya,99,RU,1619289696,83,64.3833,-173.3,35.51,0.92
101,Fuzhou,0,CN,1619289901,83,26.0614,119.3061,68.0,13.42
102,Nome,20,US,1619289643,75,64.5011,-165.4064,33.8,2.68
103,Meulaboh,100,ID,1619289905,85,4.1363,96.1285,75.88,2.82
104,Portland,90,US,1619289788,81,45.5234,-122.6762,50.0,6.91
105,Lincoln,1,US,1619289820,47,40.8,-96.667,57.0,13.8
106,Puerto Baquerizo Moreno,40,EC,1619289908,70,-0.9,-89.6,84.2,12.66
107,Cayenne,75,GF,1619289874,89,4.9333,-52.3333,79.0,6.91
108,Mataura,86,NZ,1619289911,83,-46.1927,168.8643,48.0,5.01
109,Elesbão Veloso,100,BR,1619289912,68,-6.2019,-42.1403,84.74,3.33
110,São Gotardo,0,BR,1619289913,39,-19.3111,-46.0489,84.99,5.26
111,Castro,65,BR,1619289914,53,-24.7911,-50.0119,72.99,5.08
112,Kavieng,48,PG,1619289916,79,-2.5744,150.7967,80.62,7.31
113,Siparia,80,TT,1619289917,77,10.1333,-61.5,84.99,4.0
114,Vanderhoof,0,CA,1619289918,25,54.0166,-124.0198,47.88,8.59
115,Hobart,40,AU,1619289919,76,-42.8794,147.3294,48.99,10.36
116,San Cristobal,40,VE,1619289921,55,7.7669,-72.225,89.6,13.8
117,Hoopstad,0,ZA,1619289922,23,-27.8327,25.9083,63.75,5.37
118,Lengshuitan,100,CN,1619289923,89,26.4111,111.5956,60.01,5.48
119,Saint-Augustin,89,CA,1619289925,75,51.226,-58.6502,39.24,11.12
120,Kapaa,40,US,1619289883,73,22.0752,-159.319,75.2,16.11
121,Mogadishu,94,SO,1619289677,76,2.0371,45.3438,82.94,13.53
122,Ribeira Grande,75,PT,1619289671,67,38.5167,-28.7,60.8,16.11
123,Severo-Kuril'sk,100,RU,1619289929,96,50.6789,156.125,34.84,4.54
124,Lompoc,69,US,1619289931,67,34.6391,-120.4579,57.0,6.91
125,Klaksvík,100,FO,1619289932,66,62.2266,-6.589,48.2,4.61
126,Saint Paul Harbor,90,US,1619289933,87,57.79,-152.4072,42.8,2.75
127,Jiazi,51,CN,1619289934,90,22.8779,116.067,70.72,5.79
128,Naze,99,JP,1619289936,70,28.3667,129.4833,64.09,19.1
129,Kailua,40,US,1619289937,69,21.4022,-157.7394,78.8,12.66
130,Wanning,66,CN,1619289939,92,18.8003,110.3967,77.9,9.26
131,Esperance,44,AU,1619289940,72,-33.8667,121.9,59.0,14.97
132,Dongying,37,CN,1619289941,70,37.4564,118.4856,51.3,11.99
133,Umred,20,IN,1619289943,23,20.85,79.3333,86.0,5.46
134,Belle Glade,100,US,1619289944,74,26.6845,-80.6676,84.0,7.0
135,Bilibino,100,RU,1619289945,95,68.0546,166.4372,23.54,1.32
136,Omboué,94,GA,1619289946,85,-1.5746,9.2618,77.83,2.3
137,Ahipara,27,NZ,1619289948,80,-35.1667,173.1667,58.42,8.41
138,Kungurtug,7,RU,1619289949,93,50.5994,97.5228,18.09,2.37
139,Urusha,18,RU,1619289950,77,54.05,122.9,28.04,3.33
140,Praia da Vitória,75,PT,1619289952,77,38.7333,-27.0667,62.6,28.41
141,Codrington,99,AU,1619289953,91,-38.2667,141.9667,50.56,5.32
142,Tautira,75,PF,1619289954,69,-17.7333,-149.15,82.4,6.91
143,Kirakira,100,SB,1619289680,82,-10.4544,161.9205,78.84,2.75
144,Mossamedes,0,AO,1619289956,75,-15.1961,12.1522,79.23,7.92
145,Tasiilaq,75,GL,1619289958,75,65.6145,-37.6368,37.4,4.61
146,Nanortalik,100,GL,1619289959,74,60.1432,-45.2371,41.86,8.1
147,Dothan,90,US,1619289960,100,31.2232,-85.3905,68.0,6.91
148,Killarney,0,IE,1619289962,41,52.05,-9.5167,59.0,14.97
149,Lethem,95,GY,1619289963,44,3.3803,-59.7968,92.19,9.95
150,Hilo,90,US,1619289964,83,19.7297,-155.09,71.6,6.91
151,Shelabolikha,0,RU,1619289966,24,53.4131,82.6167,39.2,6.71
152,Padang,89,ID,1619289670,87,-0.9492,100.3543,76.71,2.3
153,Kitimat,36,CA,1619289684,36,54.0524,-128.6534,62.01,1.99
154,Mocuba,1,MZ,1619289969,95,-16.8392,36.9856,67.78,3.36
155,Ottumwa,40,US,1619289970,67,41.02,-92.4113,59.0,21.85
156,Berlevåg,99,NO,1619289972,70,70.8578,29.0864,33.93,14.03
157,East London,0,ZA,1619289973,88,-33.0153,27.9116,64.4,5.75
158,Postoloprty,100,CZ,1619289974,64,50.3598,13.7029,45.0,11.01
159,Northam,51,GB,1619289976,45,51.0333,-4.2167,51.01,1.01
160,Saint-Paul-lès-Dax,100,FR,1619289977,35,43.7272,-1.0516,73.4,4.61
161,Isangel,100,VU,1619289978,81,-19.55,169.2667,77.05,10.13
162,Canela,76,BR,1619289980,47,-29.3656,-50.8156,73.99,3.42
163,Maragogi,40,BR,1619289981,76,-9.0122,-35.2225,81.43,8.16
164,Vuktyl,100,RU,1619289982,79,63.8567,57.3094,43.54,7.58
165,Ngunguru,21,NZ,1619289984,95,-35.6167,174.5,54.0,3.0
166,Half Moon Bay,75,US,1619289985,71,37.4636,-122.4286,63.0,10.36
167,Leningradskiy,100,RU,1619289986,91,69.3833,178.4167,22.5,5.12
168,Henties Bay,0,NA,1619289988,80,-22.116,14.2845,65.5,5.23
169,San Jerónimo,35,PE,1619289989,43,-11.9472,-75.2829,63.01,2.13
170,Torbay,40,CA,1619289990,35,47.6666,-52.7314,53.6,25.32
171,Hay River,100,CA,1619289991,58,60.8156,-115.7999,23.0,9.22
172,Neuquén,0,AR,1619289993,48,-38.9516,-68.0591,66.2,4.61
173,Salinópolis,100,BR,1619289994,82,-0.6136,-47.3561,81.03,7.31
174,Limeira,1,BR,1619289995,35,-22.5647,-47.4017,82.0,1.01
175,Phang Nga,20,TH,1619289997,83,8.4509,98.5298,84.0,10.36
176,Westlock,18,CA,1619289998,35,54.1502,-113.8688,39.2,10.36
177,Inuvik,54,CA,1619289999,52,68.3499,-133.7218,37.4,4.61
178,Orlik,100,RU,1619290001,91,52.5178,99.825,22.6,1.1
179,Port Elizabeth,0,ZA,1619290002,94,-33.918,25.5701,59.0,6.91
180,Tuatapere,100,NZ,1619290003,83,-46.1333,167.6833,48.0,5.01
181,Kisangani,100,CD,1619290004,99,0.5167,25.2,71.2,4.07
182,Alofi,87,NU,1619290006,100,-19.0595,-169.9187,71.6,1.14
183,Oistins,40,BB,1619289727,58,13.0667,-59.5333,84.2,19.57
184,Waddān,31,LY,1619290008,49,29.1614,16.139,67.51,18.05
185,Whitehorse,20,CA,1619290000,38,60.7161,-135.0538,45.0,8.05
186,Thompson,75,CA,1619290010,50,55.7435,-97.8558,24.8,2.3
187,Igarka,100,RU,1619290012,97,67.4667,86.5833,33.01,11.18
188,Port Keats,57,AU,1619290013,32,-14.25,129.55,69.84,8.3
189,Te Anau,100,NZ,1619290014,93,-45.4167,167.7167,47.26,6.6
190,Gerāsh,0,IR,1619290016,26,27.6652,54.1371,80.6,1.21
191,Fairlie,43,GB,1619290017,58,55.756,-4.8556,55.4,11.5
192,Sørland,45,NO,1619290018,63,67.667,12.6934,37.18,23.87
193,Olafsvik,100,IS,1619290019,82,64.8945,-23.7142,44.64,17.38
194,Sinop Province,100,TR,1619290021,88,41.7711,34.8709,47.28,3.27
195,Burnie,38,AU,1619290022,89,-41.0667,145.9167,45.0,1.01
196,Upernavik,11,GL,1619290023,85,72.7868,-56.1549,34.2,5.91
197,Merauke,97,ID,1619290025,89,-8.4667,140.3333,77.94,7.94
198,Yangi Marg`ilon,95,UZ,1619290026,42,40.4272,71.7189,64.4,4.61
199,Marabu,20,MY,1619290027,94,4.4148,114.0089,78.8,3.44
200,Mandalgovi,100,MN,1619290029,81,45.7625,106.2708,48.13,4.7
201,Puerto Ayacucho,45,VE,1619290030,54,5.6639,-67.6236,89.74,2.68
202,Santa Marta,40,CO,1619290031,66,11.2408,-74.199,90.0,1.99
203,Pevek,100,RU,1619290032,86,69.7008,170.3133,19.22,2.77
204,Vila Velha,20,BR,1619290034,65,-20.3297,-40.2925,81.0,11.5
205,Chabahar,83,IR,1619289991,56,25.2919,60.643,83.07,10.11
206,Sitka,1,US,1619290036,40,57.0531,-135.33,51.8,5.75
207,Bibiani,95,GH,1619290037,77,6.4635,-2.3194,80.01,4.03
208,Hearst,100,CA,1619290039,74,49.6835,-83.6665,26.6,6.91
209,Inta,76,RU,1619290040,76,66.0317,60.1659,38.19,9.57
210,Lerwick,59,GB,1619290041,76,60.1545,-1.1494,44.6,10.36
211,Balud,75,PH,1619290043,78,10.1476,123.6953,80.6,1.14
212,Launceston,19,AU,1619290044,87,-41.45,147.1667,39.99,3.44
213,Imeni Poliny Osipenko,8,RU,1619290045,58,52.4201,136.4853,27.99,6.26
214,Prieska,100,ZA,1619290046,23,-29.6641,22.7474,71.64,5.06
215,Kaitangata,23,NZ,1619290048,88,-46.2817,169.8464,45.0,1.99
216,Laguna,90,US,1619290049,55,38.421,-121.4238,66.0,10.36
217,Coelho Neto,42,BR,1619290050,87,-4.2567,-43.0128,80.69,4.29
218,Sept-Îles,75,CA,1619289905,43,50.2001,-66.3821,48.99,9.22
219,Zangakatun,0,AM,1619290053,32,39.8212,45.0406,64.4,16.11
220,Kaeo,21,NZ,1619290054,95,-35.1,173.7833,54.0,3.0
221,Dakar,20,SN,1619290055,83,14.6937,-17.4441,71.6,13.8
222,Fort Madison,75,US,1619290057,55,40.6298,-91.3151,62.6,9.22
223,Saint-Pierre,75,RE,1619290058,88,-21.3393,55.4781,77.0,27.63
224,Talcahuano,0,CL,1619290059,59,-36.7167,-73.1167,64.4,10.36
225,Saint George,100,US,1619290060,18,37.1041,-113.5841,79.0,1.01
226,Sri Aman,91,MY,1619290062,88,1.2376,111.4621,77.0,1.14
227,Suratgarh,0,IN,1619290063,16,29.3167,73.9,80.78,6.98
228,Amapá,100,BR,1619290064,94,1.0,-52.0,79.41,3.22
229,Nuevo Progreso,56,MX,1619289973,49,23.1667,-97.95,93.0,15.01
230,Jizan,20,SA,1619290067,40,17.3333,42.6667,87.8,23.02
231,Ambo,45,PE,1619290068,58,-10.1308,-76.2047,73.65,8.3
232,Opuwo,81,NA,1619290069,39,-18.0607,13.84,73.15,3.27
233,Katsuura,20,JP,1619290071,63,35.1333,140.3,60.8,10.36
234,Bow Island,98,CA,1619290072,33,49.8668,-111.3684,42.01,6.91
235,Staropyshminsk,0,RU,1619290073,39,56.9387,60.903,44.6,8.95
236,Durazno,75,UY,1619290074,77,-33.4131,-56.5006,68.0,17.27
237,Margate,100,GB,1619290071,72,51.3813,1.3862,46.99,5.99
238,Cherskiy,95,RU,1619290077,95,68.75,161.3,17.47,10.33
239,Mizoch,91,UA,1619290078,68,50.4,26.15,37.51,5.41
240,Progreso,75,MX,1619290079,38,21.2833,-89.6667,99.0,19.57
241,Tres Arroyos,6,AR,1619290081,51,-38.3739,-60.2798,62.28,16.26
242,São José da Coroa Grande,26,BR,1619290082,72,-8.8978,-35.1478,82.06,7.94
243,Bethel,1,US,1619290083,23,41.3712,-73.414,69.8,8.05
244,Seminole,75,US,1619289792,54,28.7086,-81.2081,89.01,18.41
245,Hoa Binh,75,VN,1619290086,94,20.8133,105.3383,80.6,10.36
246,Nyrob,100,RU,1619290087,90,60.733,56.7202,41.77,8.84
247,Nemuro,100,JP,1619290088,95,43.3236,145.575,36.28,14.72
248,Ligayan,95,PH,1619290089,75,4.6533,119.4706,82.2,4.76
249,Jackson,75,US,1619290091,66,42.4165,-122.8345,57.99,5.64
250,Broken Hill,0,AU,1619290092,66,-31.95,141.4333,51.8,8.41
251,Sozimskiy,100,RU,1619290093,93,59.7418,52.2482,42.22,8.3
252,Flinders,0,AU,1619290095,80,-34.5833,150.8552,52.0,1.01
253,Adrar,6,MR,1619290096,11,20.5022,-10.0711,90.64,10.71
254,Rocha,100,UY,1619290097,90,-34.4833,-54.3333,65.89,7.29
255,San Policarpo,61,PH,1619290098,89,12.1791,125.5072,76.53,5.08
256,Sambava,28,MG,1619290100,87,-14.2667,50.1667,76.06,10.31
257,Ust-Kuyga,100,RU,1619290101,95,70.0167,135.6,21.87,9.8
258,Coquimbo,0,CL,1619290102,68,-29.9533,-71.3436,64.4,13.8
259,Biryusinsk,99,RU,1619290104,87,55.9634,97.8235,31.98,5.26
260,Saint-Louis,0,SN,1619290105,13,16.3333,-15.0,102.2,4.61
261,Hualmay,9,PE,1619290106,72,-11.0964,-77.6139,72.39,10.71
262,Irbeyskoye,70,RU,1619290107,93,55.6428,95.4522,29.52,1.92
263,Ilhabela,28,BR,1619290109,73,-23.7781,-45.3581,75.63,5.3
264,Hastings,33,GB,1619290110,71,50.8552,0.5729,48.99,18.41
265,Puerto Cabello,99,VE,1619290111,85,10.4731,-68.0125,32.0,10.16
266,Kiunga,100,PG,1619290112,99,-6.1219,141.2906,72.99,4.23
267,Vao,100,NC,1619290114,68,-22.6667,167.4833,75.97,13.02
268,Sarāhan,0,IN,1619290115,42,31.5167,77.8,41.13,12.55
269,Miechów,0,PL,1619290116,57,50.3565,20.0279,48.2,3.44
270,Dingle,100,PH,1619290118,85,10.9995,122.6711,76.06,1.12
271,Poum,100,NC,1619290119,81,-20.2333,164.0167,78.35,15.23
272,Itarema,97,BR,1619290120,78,-2.9248,-39.9167,82.54,13.44
273,Hirara,71,JP,1619290122,78,24.8,125.2833,71.46,19.37
274,Iralaya,40,HN,1619290123,70,15.0,-83.2333,87.8,9.22
275,Nordby,75,DK,1619290124,65,55.446,8.3979,41.0,12.66
276,Anadyr,75,RU,1619290125,93,64.75,177.4833,32.0,15.66
277,Dunedin,100,NZ,1619290127,81,-45.8742,170.5036,48.0,7.0
278,Kahului,40,US,1619290128,100,20.8947,-156.47,73.0,12.66
279,Shīeli,3,KZ,1619290129,25,44.1667,66.75,63.54,11.7
280,Jalalabad,60,AF,1619290131,22,34.4265,70.4515,73.13,0.96
281,Zhicheng,100,CN,1619290132,94,30.2956,111.5047,55.99,4.76
282,Itapema,20,BR,1619290065,73,-27.0903,-48.6114,80.01,11.5
283,Bud,100,US,1619290135,88,39.447,-86.1758,53.01,6.85
284,Ambon City,40,ID,1619290136,94,-3.6954,128.1814,77.0,5.75
285,Mareeba,75,AU,1619290137,100,-17.0,145.4333,73.4,11.5
286,Cabo San Lucas,1,MX,1619290055,41,22.8909,-109.9124,84.2,11.5
287,Halkirk,7,CA,1619290140,30,52.2834,-112.1518,39.2,5.75
288,Korla,0,CN,1619290141,42,41.7597,86.1469,50.16,12.08
289,Porto Torres,0,IT,1619290142,59,40.835,8.3972,60.8,4.61
290,Taltal,49,CL,1619290144,71,-25.4,-70.4833,64.72,4.76
291,Gao,1,ML,1619290145,5,16.6362,1.637,92.68,8.55
292,Husavik,0,IS,1619290146,62,66.0449,-17.3389,51.8,10.36
293,Mount Gambier,75,AU,1619290148,100,-37.8333,140.7667,50.0,5.75
294,Haines Junction,15,CA,1619290149,39,60.7522,-137.5108,42.8,2.3
295,Mahébourg,75,MU,1619290150,83,-20.4081,57.7,78.8,17.27
296,Mastic Beach,1,US,1619290152,28,40.7668,-72.8521,68.0,13.8
297,Bambanglipuro,17,ID,1619290153,83,-7.95,110.2833,75.18,3.15
298,Saint Anthony,90,US,1619290154,56,45.0205,-93.218,43.0,8.05
299,Korem,100,ET,1619290156,42,12.5058,39.5228,63.54,7.47
300,Verkhnevilyuysk,100,RU,1619290157,93,63.4453,120.3167,31.08,5.55
301,Necochea,85,AR,1619290158,73,-38.5473,-58.7368,63.0,5.01
302,Weinan,40,CN,1619290159,87,34.5036,109.5089,53.6,8.95
303,Vitim,100,RU,1619290161,98,59.4511,112.5578,22.08,2.1
304,Seoul,0,KR,1619290137,93,37.5683,126.9778,53.6,2.3
305,Timberlake,90,US,1619290163,47,37.3207,-79.2575,57.2,3.87
306,Azángaro,20,PE,1619290164,13,-14.9167,-70.2167,66.2,20.71
307,Iqaluit,75,CA,1619290166,75,63.7506,-68.5145,35.6,4.61
308,Yenagoa,96,NG,1619290167,78,4.9247,6.2642,78.46,4.92
309,Constitución,6,CL,1619290168,57,-35.3333,-72.4167,65.1,16.26
310,Tiznit Province,3,MA,1619290169,63,29.5833,-9.5,60.39,9.91
311,Ixtapa,75,MX,1619290171,57,20.7,-105.2,82.4,9.22
312,Lavrentiya,93,RU,1619290172,88,65.5833,-171.0,28.24,1.28
313,Namwala,32,ZM,1619290173,52,-15.7504,26.4384,66.7,5.93
314,Río Gallegos,0,AR,1619290175,36,-51.6226,-69.2181,60.8,6.91
315,Preobrazheniye,0,RU,1619290176,66,42.9019,133.9064,37.87,7.18
316,Rawson,14,AR,1619290177,45,-43.3002,-65.1023,60.51,0.74
317,Province of Trapani,0,IT,1619290179,82,37.8333,12.6667,60.8,9.22
318,Khasan,0,RU,1619290180,64,42.4308,130.6434,42.1,8.16
319,Bella Vista,90,US,1619290181,94,36.4295,-94.2316,57.2,12.66
320,Tura,100,IN,1619290183,35,25.5198,90.2201,75.25,3.51
321,Ancud,75,CL,1619290184,72,-41.8697,-73.8203,62.01,11.5
322,Seydi,98,TM,1619290185,30,39.4816,62.9137,76.55,7.31
323,Ostrovnoy,100,RU,1619290186,99,68.0531,39.5131,36.19,4.54
324,Coahuayana Viejo,40,MX,1619289919,30,18.7333,-103.6833,86.0,8.23
325,Salalah,17,OM,1619290189,75,17.0151,54.0924,82.18,6.44
326,Bayan,3,CN,1619290190,32,46.0833,127.4,41.04,8.46
327,Pangnirtung,1,CA,1619290191,75,66.1451,-65.7125,33.8,11.5
328,Bantacan,85,PH,1619290193,92,7.604,126.1298,73.96,1.03
329,Auki,76,SB,1619290194,86,-8.7676,160.7034,77.05,2.93
330,Abbeville,0,FR,1619290195,66,50.1,1.8333,53.6,11.5
331,Patrocínio,0,BR,1619290196,32,-18.9439,-46.9925,84.0,4.61
332,Daru,100,PG,1619290198,91,-9.0763,143.2092,77.2,7.34
333,Biak,95,ID,1619290199,77,-0.9131,122.8766,76.75,5.73
334,Turukhansk,100,RU,1619290200,99,65.8167,87.9833,31.82,5.23
335,Coyhaique,75,CL,1619290202,67,-45.5752,-72.0662,55.4,3.44
336,Viga,79,PH,1619290204,89,13.8719,124.3091,75.74,3.58
337,Malinyi,100,TZ,1619290205,97,-8.9333,36.1333,70.9,0.72
338,Srednekolymsk,100,RU,1619290207,95,67.45,153.6833,11.3,8.63
339,Tena,75,EC,1619290208,83,-0.9833,-77.8167,80.6,4.61
340,Kabompo,71,ZM,1619290209,59,-13.5927,24.2008,69.67,2.82
341,Guerrero Negro,3,MX,1619289973,57,27.9769,-114.0611,67.15,15.05
342,Mayskiy,0,RU,1619290212,49,47.6931,40.1025,48.2,8.95
343,Bambous Virieux,75,MU,1619290213,83,-20.3428,57.7575,79.0,17.27
344,Seybaplaya,20,MX,1619290214,39,19.65,-90.6667,98.6,9.22
345,Port Macquarie,0,AU,1619290216,90,-31.4333,152.9167,53.01,1.01
346,Poli,88,TZ,1619290217,85,-3.3333,36.8,63.01,1.92
347,Tahoua,0,NE,1619290218,5,14.8888,5.2692,104.0,4.61
348,La Ronge,100,CA,1619290220,46,55.1001,-105.2842,26.6,5.75
349,Nouadhibou,0,MR,1619290221,73,20.931,-17.0347,69.8,21.85
350,Bata,40,GQ,1619290222,89,1.8639,9.7658,80.6,2.3
351,Tabatinga,75,BR,1619290223,74,-4.2525,-69.9381,84.2,4.61
352,Vila Franca do Campo,40,PT,1619290225,82,37.7167,-25.4333,59.0,16.11
353,Santa Cecília,90,BR,1619290226,49,-26.9608,-50.4269,71.8,2.08
354,Trairi,100,BR,1619290227,87,-3.2778,-39.2689,80.33,9.71
355,Itupiranga,75,BR,1619290229,62,-5.1347,-49.3267,84.2,4.61
356,Salta,75,AR,1619290155,82,-24.7859,-65.4117,64.99,4.61
